NAME;COUNTRY;GEONAME
Ukraine;Ukraine;Ukraine
United Arab Emirates;United+Arab+Emirates;United Arab Emirates
United Kingdom of Great Britain and Northern Ireland;United+Kingdom;United Kingdom
United Republic of Tanzania;United+Republic+of+Tanzania;United Republic of Tanzania
United States Minor Outlying Islands;United+States+Minor+Outlying+Islands;United States Minor Outlying Islands
United States Virgin Islands;United+States+Virgin+Islands;United States Virgin Islands
United States of America;United+States;United States of America
Uruguay;Uruguay;Uruguay
Uzbekistan;Uzbekistan;Uzbekistan
Vanuatu;Vanuatu;Vanuatu
Venezuela (Bolivarian Republic of);Venezuela;Venezuela
Viet Nam;Viet+Nam;Vietnam
Wallis and Futuna Islands;Wallis+and+Futuna+Islands;Wallis and Futuna Islands
Western Sahara;Western+Sahara;Western Sahara
Yemen;Yemen;Yemen
Zambia;Zambia;Zambia
Zimbabwe;Zimbabwe;Zimbabwe
